permalink,name,category_list,status,country_code,founded_at,company_permalink,funding_round_type,funded_at,raised_amount_usd,main_sector
3si-security-systems,3SI Security Systems,Physical Security,operating,USA,01-01-1971,3si-security-systems,venture,29-07-2002,13000000.0,Others
3tier-environmental-forecast-group,3TIER,Clean Technology,acquired,USA,01-01-1999,3tier-environmental-forecast-group,venture,18-12-2008,10000000.0,Cleantech / Semiconductors
3vr-security,3VR,Security,operating,USA,01-01-2002,3vr-security,venture,13-01-2015,8000000.0,Others
3vr-security,3VR,Security,operating,USA,01-01-2002,3vr-security,venture,15-01-2009,5000000.0,Others
3vr-security,3VR,Security,operating,USA,01-01-2002,3vr-security,venture,20-08-2009,12000000.0,Others
3vr-security,3VR,Security,operating,USA,01-01-2002,3vr-security,venture,17-01-2006,10000000.0,Others
3vr-security,3VR,Security,operating,USA,01-01-2002,3vr-security,venture,28-09-2006,9000000.0,Others
41st-parameter,41st Parameter,Security,acquired,USA,01-01-2004,41st-parameter,venture,08-05-2006,11200000.0,Others
41st-parameter,41st Parameter,Security,acquired,USA,01-01-2004,41st-parameter,venture,09-08-2007,10070000.0,Others
41st-parameter,41st Parameter,Security,acquired,USA,01-01-2004,41st-parameter,venture,11-04-2012,13000000.0,Others
42floors,42Floors,Commercial Real Estate,operating,USA,01-01-2011,42floors,venture,31-01-2013,12000000.0,"News, Search and Messaging"
42floors,42Floors,Commercial Real Estate,operating,USA,01-01-2011,42floors,venture,16-11-2012,5000000.0,"News, Search and Messaging"
480-biomedical,480 Biomedical,Biotechnology,operating,USA,01-01-2011,480-biomedical,venture,14-02-2012,15000000.0,Cleantech / Semiconductors
480-biomedical,480 Biomedical,Biotechnology,operating,USA,01-01-2011,480-biomedical,venture,01-06-2015,10500000.0,Cleantech / Semiconductors
4d-molecular-therapeutics,4D Molecular Therapeutics,Biotechnology,operating,USA,01-01-2013,4d-molecular-therapeutics,venture,13-08-2015,6999995.0,Cleantech / Semiconductors
4info,4INFO,Ad Targeting,operating,USA,08-09-2004,4info,venture,01-06-2007,10000000.0,"Social, Finance, Analytics, Advertising"
4info,4INFO,Ad Targeting,operating,USA,08-09-2004,4info,venture,04-08-2013,8000000.0,"Social, Finance, Analytics, Advertising"
4info,4INFO,Ad Targeting,operating,USA,08-09-2004,4info,venture,01-03-2005,8000000.0,"Social, Finance, Analytics, Advertising"
4info,4INFO,Ad Targeting,operating,USA,08-09-2004,4info,venture,27-10-2011,14000000.0,"Social, Finance, Analytics, Advertising"
500friends,500Friends,E-Commerce,acquired,USA,01-01-2010,500friends,venture,12-03-2013,5000000.0,Others
5min,5min Media,Education,acquired,USA,01-01-2007,5min,venture,01-11-2007,5000000.0,Others
5min,5min Media,Education,acquired,USA,01-01-2007,5min,venture,23-07-2009,7500000.0,Others
5th-finger,5th Finger,Mobile,acquired,USA,01-01-2008,5th-finger,venture,13-06-2008,7000000.0,"News, Search and Messaging"
5to1,5to1,Advertising,acquired,USA,01-01-2009,5to1,venture,10-11-2010,6500000.0,"Social, Finance, Analytics, Advertising"
5to1,5to1,Advertising,acquired,USA,01-01-2009,5to1,venture,10-12-2009,6309744.0,"Social, Finance, Analytics, Advertising"
6fusion,6fusion,Enterprise Software,operating,USA,01-01-2008,6fusion,venture,02-07-2015,10918865.0,Others
6fusion,6fusion,Enterprise Software,operating,USA,01-01-2008,6fusion,venture,22-08-2011,7000000.0,Others
6sense,6sense,B2B,operating,USA,01-01-2013,6sense,venture,20-05-2014,12000000.0,"Social, Finance, Analytics, Advertising"
6th-sense-analytics,6th Sense Analytics,Software,acquired,USA,01-01-2004,6th-sense-analytics,venture,31-01-2007,5000000.0,Others
7-star-entertainment,7 Star Entertainment,Games,operating,USA,,7-star-entertainment,venture,14-07-2010,10000000.0,Entertainment
80th-street-residence-facc-fund-i,80th Street Residence FACC Fund I,Health and Wellness,operating,USA,01-01-2011,80th-street-residence-facc-fund-i,venture,18-11-2011,5100000.0,Health
908-devices,908 Devices,Manufacturing,operating,USA,01-01-2012,908-devices,venture,27-08-2013,7000000.0,Manufacturing
908-devices,908 Devices,Manufacturing,operating,USA,01-01-2012,908-devices,venture,06-05-2015,11600000.0,Manufacturing
908-devices,908 Devices,Manufacturing,operating,USA,01-01-2012,908-devices,venture,05-09-2012,8100000.0,Manufacturing
955-dreams,Applauze,Mobile,operating,USA,01-11-2010,955-dreams,venture,23-10-2013,7200000.0,"News, Search and Messaging"
99designs,99designs,Crowdsourcing,operating,USA,01-02-2008,99designs,venture,15-04-2015,10000000.0,"Social, Finance, Analytics, Advertising"
a-la-mobile,A la Mobile,Mobile,operating,USA,01-06-2005,a-la-mobile,venture,02-05-2008,6750000.0,"News, Search and Messaging"
a-p-pharma,A.P.Pharma,Biotechnology,operating,USA,,a-p-pharma,venture,05-11-2009,8142817.0,Cleantech / Semiconductors
a10-networks,A10 Networks,Cloud Computing,ipo,USA,01-10-2004,a10-networks,venture,01-01-2005,6000000.0,"News, Search and Messaging"
a10-networks,A10 Networks,Cloud Computing,ipo,USA,01-10-2004,a10-networks,venture,13-11-2006,9000000.0,"News, Search and Messaging"
aardvark,Aardvark,Search,acquired,USA,01-07-2007,aardvark,venture,01-10-2008,5250000.0,"News, Search and Messaging"
aarohi-communication,Aarohi communication,Application Platforms,acquired,USA,,aarohi-communication,venture,29-08-2003,6000000.0,"News, Search and Messaging"
aarohi-communication,Aarohi communication,Application Platforms,acquired,USA,,aarohi-communication,venture,06-12-2002,8000000.0,"News, Search and Messaging"
abeona-therapeutics,Abeona Therapeutics,Biotechnology,operating,USA,01-01-2013,abeona-therapeutics,venture,28-07-2015,8500000.0,Cleantech / Semiconductors
abes-market,Abe's Market,E-Commerce,operating,USA,01-09-2009,abes-market,venture,17-01-2013,5000000.0,Others
abes-market,Abe's Market,E-Commerce,operating,USA,01-09-2009,abes-market,venture,07-02-2014,10000000.0,Others
abgenomics,AbGenomics,Biotechnology,operating,USA,01-06-2000,abgenomics,venture,27-08-2014,13160000.0,Cleantech / Semiconductors
abgenomics,AbGenomics,Biotechnology,operating,USA,01-06-2000,abgenomics,venture,18-07-2013,9600000.0,Cleantech / Semiconductors
ability-network,ABILITY Network,Health Care,operating,USA,01-01-2000,ability-network,venture,01-01-2007,5000000.0,Health
abilto,AbilTo,Curated Web,operating,USA,01-01-2008,abilto,venture,18-03-2014,6000000.0,"News, Search and Messaging"
abilto,AbilTo,Curated Web,operating,USA,01-01-2008,abilto,venture,09-06-2015,12000000.0,"News, Search and Messaging"
abine,Abine,Curated Web,operating,USA,01-01-2008,abine,venture,12-07-2011,6467283.0,"News, Search and Messaging"
abiquo-group,Abiquo Group,Cloud Computing,operating,USA,01-01-2010,abiquo-group,venture,10-04-2013,5000000.0,"News, Search and Messaging"
abiquo-group,Abiquo Group,Cloud Computing,operating,USA,01-01-2010,abiquo-group,venture,30-11-2010,10000000.0,"News, Search and Messaging"
ablative-solutions,Ablative Solutions,Biotechnology,operating,USA,01-01-2011,ablative-solutions,venture,04-02-2014,9575077.0,Cleantech / Semiconductors
ablative-solutions,Ablative Solutions,Biotechnology,operating,USA,01-01-2011,ablative-solutions,venture,19-06-2012,5300000.0,Cleantech / Semiconductors
ablative-solutions,Ablative Solutions,Biotechnology,operating,USA,01-01-2011,ablative-solutions,venture,12-01-2015,14590000.0,Cleantech / Semiconductors
able,Able Lending,Collaboration,operating,USA,01-01-2014,able,venture,25-08-2015,6000000.0,"Social, Finance, Analytics, Advertising"
able,Able Lending,Collaboration,operating,USA,01-01-2014,able,venture,01-07-2013,5000000.0,"Social, Finance, Analytics, Advertising"
able,Able Lending,Collaboration,operating,USA,01-01-2014,able,venture,01-07-2013,5000000.0,"Social, Finance, Analytics, Advertising"
able-planet,Able Planet,Hardware + Software,operating,USA,01-01-2005,able-planet,venture,17-08-2009,5324000.0,Manufacturing
ablexis,Ablexis,Biotechnology,operating,USA,01-01-2009,ablexis,venture,04-06-2010,12000000.0,Cleantech / Semiconductors
aboutme,about.me,Curated Web,operating,USA,05-02-2013,aboutme,venture,10-06-2014,11000000.0,"News, Search and Messaging"
aboutme,about.me,Curated Web,operating,USA,05-02-2013,aboutme,venture,05-02-2013,5675000.0,"News, Search and Messaging"
above-all-software,Above All Software,Software,operating,USA,01-01-2002,above-all-software,venture,17-02-2004,11500000.0,Others
abra,Abra,Financial Services,operating,USA,01-01-2014,abra,venture,10-09-2015,12000000.0,"Social, Finance, Analytics, Advertising"
abt-molecular-imaging,ABT Molecular Imaging,Health Care,operating,USA,01-01-2006,abt-molecular-imaging,venture,21-01-2010,9000000.0,Health
abt-molecular-imaging,ABT Molecular Imaging,Health Care,operating,USA,01-01-2006,abt-molecular-imaging,venture,06-10-2009,6000000.0,Health
abt-molecular-imaging,ABT Molecular Imaging,Health Care,operating,USA,01-01-2006,abt-molecular-imaging,venture,13-09-2012,6000000.0,Health
ac-moore-craft-store,A.C. Moore,E-Commerce,ipo,USA,01-01-1984,ac-moore-craft-store,venture,05-06-2009,10000000.0,Others
acacia-research,Acacia Research,Business Services,ipo,USA,01-01-1993,acacia-research,venture,22-11-1999,10500000.0,"Social, Finance, Analytics, Advertising"
academia-edu,Academia.edu,Social Media,operating,USA,01-09-2008,academia-edu,venture,26-09-2013,11100000.0,"Social, Finance, Analytics, Advertising"
academix-direct-go-internet-media,AcademixDirect,Advertising,operating,USA,01-01-2004,academix-direct-go-internet-media,venture,01-01-2009,10000000.0,"Social, Finance, Analytics, Advertising"
acadia-pharmaceuticals,ACADIA Pharmaceuticals,Biotechnology,ipo,USA,,acadia-pharmaceuticals,venture,11-01-2011,15000000.0,Cleantech / Semiconductors
accelecare,AcceleCare Wound Centers,Health Care,acquired,USA,,accelecare,venture,03-07-2007,10000000.0,Health
accelerate-diagnostics,Accelerate Diagnostics,Health Care,ipo,USA,01-01-2004,accelerate-diagnostics,venture,17-07-2012,14420000.0,Health
accelerated-vision-group,Accelerated Vision Group,Analytics,operating,USA,01-01-2011,accelerated-vision-group,venture,21-05-2012,6000000.0,"Social, Finance, Analytics, Advertising"
acceleron-pharma,Acceleron Pharma,Biotechnology,ipo,USA,01-01-2004,acceleron-pharma,venture,15-12-2009,10951121.0,Cleantech / Semiconductors
acceleron-pharma,Acceleron Pharma,Biotechnology,ipo,USA,01-01-2004,acceleron-pharma,venture,10-06-2010,10250006.0,Cleantech / Semiconductors
accellion,Accellion,Enterprise Software,operating,USA,01-01-1999,accellion,venture,04-01-2012,12000000.0,Others
accelops,AccelOps,Analytics,operating,USA,01-01-2007,accelops,venture,01-10-2007,7000000.0,"Social, Finance, Analytics, Advertising"
accera,Accera,Biotechnology,operating,USA,01-01-2001,accera,venture,16-09-2004,6000000.0,Cleantech / Semiconductors
accera,Accera,Biotechnology,operating,USA,01-01-2001,accera,venture,03-01-2011,11000000.0,Cleantech / Semiconductors
accera,Accera,Biotechnology,operating,USA,01-01-2001,accera,venture,16-08-2006,7500000.0,Cleantech / Semiconductors
access-closure,Access Closure,Health Care,acquired,USA,01-01-2002,access-closure,venture,03-03-2010,9999998.0,Health
access-integrated-healthcare,Access Integrated Healthcare,Health and Wellness,operating,USA,01-10-2014,access-integrated-healthcare,venture,24-04-2015,8500000.0,Health
access-scientific,Access Scientific,Health Care,acquired,USA,01-01-2004,access-scientific,venture,09-06-2011,10000000.0,Health
access-sports-media-2,AccessSportsMedia.com,Advertising,operating,USA,01-01-2003,access-sports-media-2,venture,29-10-2008,8000000.0,"Social, Finance, Analytics, Advertising"
access-sports-media-2,AccessSportsMedia.com,Advertising,operating,USA,01-01-2003,access-sports-media-2,venture,05-01-2011,12000000.0,"Social, Finance, Analytics, Advertising"
accessbio,Accessbio,Biotechnology,operating,USA,,accessbio,venture,25-05-2011,12000000.0,Cleantech / Semiconductors
acclaris-holdings,Acclaris Holdings,Development Platforms,acquired,USA,01-01-2010,acclaris-holdings,venture,21-07-2004,5000000.0,"Social, Finance, Analytics, Advertising"
acco-brands,Acco Brands,Hardware + Software,ipo,USA,01-01-1947,acco-brands,venture,01-02-2007,10000000.0,Manufacturing
acco-semiconductor,ACCO Semiconductor,Semiconductors,operating,USA,01-01-1994,acco-semiconductor,venture,15-09-2010,9996147.0,Cleantech / Semiconductors
acco-semiconductor,ACCO Semiconductor,Semiconductors,operating,USA,01-01-1994,acco-semiconductor,venture,18-03-2014,11143748.0,Cleantech / Semiconductors
acco-semiconductor,ACCO Semiconductor,Semiconductors,operating,USA,01-01-1994,acco-semiconductor,venture,06-02-2013,12191919.0,Cleantech / Semiconductors
accompany,Accompany,3D,operating,USA,01-01-2013,accompany,venture,16-06-2014,5600000.0,Manufacturing
accompany,Accompany,3D,operating,USA,01-01-2013,accompany,venture,19-11-2014,15000000.0,Manufacturing
accountnow,AccountNow,Credit,operating,USA,01-01-2003,accountnow,venture,29-06-2007,12750000.0,"Social, Finance, Analytics, Advertising"
accountnow,AccountNow,Credit,operating,USA,01-01-2003,accountnow,venture,01-03-2008,12822000.0,"Social, Finance, Analytics, Advertising"
accountnow,AccountNow,Credit,operating,USA,01-01-2003,accountnow,venture,13-03-2006,5000000.0,"Social, Finance, Analytics, Advertising"
accreon,Accreon,Software,operating,USA,01-01-2008,accreon,venture,08-04-2015,5500000.0,Others
accu-break-pharmaceuticals,Accu-Break Pharmaceuticals,Biotechnology,operating,USA,01-01-2001,accu-break-pharmaceuticals,venture,01-06-2007,5650000.0,Cleantech / Semiconductors
accumen,Accumen,Health Care,operating,USA,01-06-2011,accumen,venture,01-06-2011,6700000.0,Health
accumetrics,Accumetrics,Biotechnology,acquired,USA,01-01-1996,accumetrics,venture,06-02-2006,8250000.0,Cleantech / Semiconductors
accumetrics,Accumetrics,Biotechnology,acquired,USA,01-01-1996,accumetrics,venture,01-07-2004,13500000.0,Cleantech / Semiconductors
accumetrics,Accumetrics,Biotechnology,acquired,USA,01-01-1996,accumetrics,venture,01-09-2010,7000000.0,Cleantech / Semiconductors
accuri-cytometers,Accuri Cytometers,Biotechnology,operating,USA,,accuri-cytometers,venture,30-04-2007,5000000.0,Cleantech / Semiconductors
accuri-cytometers,Accuri Cytometers,Biotechnology,operating,USA,,accuri-cytometers,venture,08-07-2008,13000000.0,Cleantech / Semiconductors
accuri-cytometers,Accuri Cytometers,Biotechnology,operating,USA,,accuri-cytometers,venture,19-10-2010,6000000.0,Cleantech / Semiconductors
accuvant,Accuvant,Security,acquired,USA,01-01-2002,accuvant,venture,17-09-2010,6000000.0,Others
ace-metrix,Ace Metrix,Advertising,operating,USA,01-01-2007,ace-metrix,venture,16-12-2009,6000000.0,"Social, Finance, Analytics, Advertising"
ace-metrix,Ace Metrix,Advertising,operating,USA,01-01-2007,ace-metrix,venture,29-05-2012,8000000.0,"Social, Finance, Analytics, Advertising"
acell,ACell,Health and Wellness,operating,USA,01-01-1999,acell,venture,26-04-2011,8700000.0,Health
acelrx-pharmaceuticals,AcelRx Pharmaceuticals,Biotechnology,ipo,USA,,acelrx-pharmaceuticals,venture,23-11-2009,14814106.0,Cleantech / Semiconductors
acetylon-pharmaceuticals,Acetylon Pharmaceuticals,Biotechnology,operating,USA,01-01-2008,acetylon-pharmaceuticals,venture,22-02-2011,12400000.0,Cleantech / Semiconductors
acetylon-pharmaceuticals,Acetylon Pharmaceuticals,Biotechnology,operating,USA,01-01-2008,acetylon-pharmaceuticals,venture,01-08-2009,7250000.0,Cleantech / Semiconductors
acetylon-pharmaceuticals,Acetylon Pharmaceuticals,Biotechnology,operating,USA,01-01-2008,acetylon-pharmaceuticals,venture,29-06-2011,14600000.0,Cleantech / Semiconductors
aceva-technologies,Aceva Technologies,Enterprise Software,acquired,USA,01-01-1999,aceva-technologies,venture,21-07-2005,5280000.0,Others
achates-power,Achates Power,Clean Technology,operating,USA,01-01-2004,achates-power,venture,08-10-2009,12100000.0,Cleantech / Semiconductors
achates-power,Achates Power,Clean Technology,operating,USA,01-01-2004,achates-power,venture,11-01-2010,7000000.0,Cleantech / Semiconductors
achieve-financial-services,Achieve Financial Services,Brand Marketing,operating,USA,,achieve-financial-services,venture,20-03-2012,12500000.0,"Social, Finance, Analytics, Advertising"
achieve3000,Achieve3000,Software,operating,USA,01-01-2000,achieve3000,venture,24-07-2007,9000000.0,Others
achievers,Achievers,Employer Benefits Programs,acquired,USA,01-01-1995,achievers,venture,19-09-2011,14000000.0,"Social, Finance, Analytics, Advertising"
achievers,Achievers,Employer Benefits Programs,acquired,USA,01-01-1995,achievers,venture,07-05-2009,5922326.0,"Social, Finance, Analytics, Advertising"
achronix-semiconductor,Achronix Semiconductor,Semiconductors,operating,USA,01-01-2004,achronix-semiconductor,venture,01-08-2012,9842436.0,Cleantech / Semiconductors
aciex-therapeutics,Aciex Therapeutics,Biotechnology,acquired,USA,,aciex-therapeutics,venture,12-08-2011,8000000.0,Cleantech / Semiconductors
acinion,Blackwave,Social Media,acquired,USA,01-01-2006,acinion,venture,30-09-2009,7000000.0,"Social, Finance, Analytics, Advertising"
acinion,Blackwave,Social Media,acquired,USA,01-01-2006,acinion,venture,01-12-2006,5000000.0,"Social, Finance, Analytics, Advertising"
acirro,Acirro,Software,acquired,USA,,acirro,venture,01-06-2001,9500000.0,Others
acm-capital-partners,ACM Capital Partners,Consulting,operating,USA,01-08-2008,acm-capital-partners,venture,23-10-2013,8000000.0,"Social, Finance, Analytics, Advertising"
acompli-inc,Acompli,Android,acquired,USA,01-06-2013,acompli-inc,venture,04-06-2013,7300000.0,"Social, Finance, Analytics, Advertising"
acorda-therapeutics,Acorda Therapeutics,Biotechnology,ipo,USA,,acorda-therapeutics,venture,29-11-2006,10000000.0,Cleantech / Semiconductors
acorda-therapeutics,Acorda Therapeutics,Biotechnology,ipo,USA,,acorda-therapeutics,venture,04-03-2004,11500000.0,Cleantech / Semiconductors
acorns-grow,Acorns,Apps,operating,USA,29-02-2012,acorns-grow,venture,14-03-2014,6160000.0,"News, Search and Messaging"
acoustic-technologies,Acoustic Technologies,Software,acquired,USA,01-01-1998,acoustic-technologies,venture,12-04-2013,7974296.0,Others
acousticeye,Acousticeye,Clean Technology,operating,USA,01-01-2006,acousticeye,venture,24-05-2012,6000000.0,Cleantech / Semiconductors
acousticeye,Acousticeye,Clean Technology,operating,USA,01-01-2006,acousticeye,venture,04-12-2013,7000000.0,Cleantech / Semiconductors
acquia,Acquia,Content,operating,USA,01-05-2007,acquia,venture,20-07-2011,15000000.0,Entertainment
acquia,Acquia,Content,operating,USA,01-05-2007,acquia,venture,01-11-2010,8500000.0,Entertainment
acquia,Acquia,Content,operating,USA,01-05-2007,acquia,venture,01-12-2007,7000000.0,Entertainment
acquia,Acquia,Content,operating,USA,01-05-2007,acquia,venture,17-07-2009,8000000.0,Entertainment
acquire-real-estate,Acquire Real Estate,Real Estate,operating,USA,01-01-2013,acquire-real-estate,venture,25-05-2015,6000000.0,Others
acrobatiq,Acrobatiq,EdTech,operating,USA,01-01-2013,acrobatiq,venture,28-07-2015,9750000.0,Others
act-biotech,ACT Biotech,Biotechnology,operating,USA,01-01-2008,act-biotech,venture,01-03-2009,11671000.0,Cleantech / Semiconductors
act-biotech,ACT Biotech,Biotechnology,operating,USA,01-01-2008,act-biotech,venture,06-05-2008,6567000.0,Cleantech / Semiconductors
act-biotech,ACT Biotech,Biotechnology,operating,USA,01-01-2008,act-biotech,venture,08-09-2008,6242000.0,Cleantech / Semiconductors
act-md,ACT.md,Software,operating,USA,01-01-2012,act-md,venture,21-07-2015,8400000.0,Others
act-on-software,Act-On Software,CRM,operating,USA,01-01-2008,act-on-software,venture,01-06-2011,10000000.0,"Social, Finance, Analytics, Advertising"
actacell,Actacell,Batteries,acquired,USA,,actacell,venture,22-07-2008,5800000.0,Manufacturing
actelis-networks,Actelis Networks,Internet,operating,USA,01-01-1998,actelis-networks,venture,09-09-2009,10000000.0,"News, Search and Messaging"
actelis-networks,Actelis Networks,Internet,operating,USA,01-01-1998,actelis-networks,venture,02-04-2008,15000000.0,"News, Search and Messaging"
actifio,Actifio,Enterprise Software,operating,USA,01-07-2009,actifio,venture,21-07-2010,8000000.0,Others
actimis-pharmaceuticals,Actimis Pharmaceuticals,Biotechnology,acquired,USA,,actimis-pharmaceuticals,venture,28-04-2005,6000000.0,Cleantech / Semiconductors
actimis-pharmaceuticals,Actimis Pharmaceuticals,Biotechnology,acquired,USA,,actimis-pharmaceuticals,venture,06-06-2008,9600000.0,Cleantech / Semiconductors
actinium-pharmaceuticals,Actinium Pharmaceuticals,Biotechnology,ipo,USA,01-01-2000,actinium-pharmaceuticals,venture,21-01-2014,6636720.0,Cleantech / Semiconductors
action-products-international,Action Products International,Cloud Computing,operating,USA,,action-products-international,venture,10-05-2012,10000000.0,"News, Search and Messaging"
actionengine,Action Engine,Mobile,acquired,USA,01-02-2000,actionengine,venture,01-05-2000,7700000.0,"News, Search and Messaging"
actionengine,Action Engine,Mobile,acquired,USA,01-02-2000,actionengine,venture,13-03-2002,5000000.0,"News, Search and Messaging"
actionengine,Action Engine,Mobile,acquired,USA,01-02-2000,actionengine,venture,01-01-2005,10000000.0,"News, Search and Messaging"
active-endpoints,Active Endpoints,Enterprise Software,operating,USA,01-01-2003,active-endpoints,venture,01-08-2004,6500000.0,Others
active-endpoints,Active Endpoints,Enterprise Software,operating,USA,01-01-2003,active-endpoints,venture,29-04-2009,5000000.0,Others
active-endpoints,Active Endpoints,Enterprise Software,operating,USA,01-01-2003,active-endpoints,venture,01-12-2007,5000000.0,Others
active-endpoints,Active Endpoints,Enterprise Software,operating,USA,01-01-2003,active-endpoints,venture,07-11-2005,6000000.0,Others
active-implants,Active Implants,Biotechnology,operating,USA,01-06-2004,active-implants,venture,01-05-2007,6600000.0,Cleantech / Semiconductors
active-implants,Active Implants,Biotechnology,operating,USA,01-06-2004,active-implants,venture,06-04-2009,8585841.0,Cleantech / Semiconductors
active-implants,Active Implants,Biotechnology,operating,USA,01-06-2004,active-implants,venture,02-12-2009,15000000.0,Cleantech / Semiconductors
active-mind-technology,Active Mind Technology,Software,operating,USA,01-01-2010,active-mind-technology,venture,22-11-2013,7823112.0,Others
activenetwork,ACTIVE Network,Software,acquired,USA,01-08-1999,activenetwork,venture,01-12-2001,11200000.0,Others
activepath,ActivePath,Finance,operating,USA,01-01-2007,activepath,venture,19-09-2011,10000000.0,"Social, Finance, Analytics, Advertising"
actividentity,ActivIdentity,Enterprise Software,acquired,USA,01-01-1985,actividentity,venture,29-12-2009,5422959.0,Others
acton-pharmaceuticals,Acton Pharmaceuticals,Biotechnology,acquired,USA,,acton-pharmaceuticals,venture,30-09-2010,14200000.0,Cleantech / Semiconductors
acton-pharmaceuticals,Acton Pharmaceuticals,Biotechnology,acquired,USA,,acton-pharmaceuticals,venture,21-05-2013,7000005.0,Cleantech / Semiconductors
acton-pharmaceuticals,Acton Pharmaceuticals,Biotechnology,acquired,USA,,acton-pharmaceuticals,venture,06-01-2010,15000000.0,Cleantech / Semiconductors
